id,COC
1,1.0
2,12.0
3,1.0
4,1.0
5,1.0
6,4.0
7,37.0
8,27.0
9,26.0
10,45.0
11,1.0
12,1.0
13,2.0
14,40.0
15,34.0
16,11.0
17,1.0
18,1.0
19,8.0
20,1.0
21,16.0
22,9.0
23,1.0
24,50.0
25,5.0
26,1.0
27,105.0
28,7.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,7.0
36,1.0
37,1.0
38,1.0
39,12.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,22.0
47,1.0
48,16.0
49,1.0
50,13.0
51,16.0
52,11.0
53,17.0
54,1.0
55,4.0
56,2.0
57,3.0
58,14.0
59,2.0
60,27.0
61,1.0
62,1.0
63,1.0
64,2.0
65,33.0
66,164.0
67,34.0
68,25.0
69,68.0
70,5.0
71,8.0
72,120.0
73,1.0
74,1.0
75,66.0
76,1.0
77,8.0
78,1.0
79,63.0
80,35.0
81,1.0
82,1.0
83,100.0
84,5.0
85,1.0
86,20.0
87,10.0
88,2.0
89,1.0
90,1.0
91,21.0
92,1.0
93,4.0
94,1.0
95,4.0
96,1.0
97,5.0
98,4.0
99,1.0
100,8.0
101,8.0
102,4.0
103,19.0
104,1.0
105,1.0
106,1.0
107,3.0
108,1.0
109,1.0
110,5.0
111,2.0
112,2.0
113,4.0
114,1.0
115,13.0
116,11.0
117,1.0
118,17.0
119,1.0
120,33.0
121,1.0
122,1.0
123,2.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,5.0
133,1.0
134,21.0
135,1.0
136,1.0
137,1.0
138,4.0
139,1.0
140,14.0
141,1.0
142,45.0
143,1.0
144,1.0
145,132.0
146,3.0
147,2.0
148,191.0
149,14.0
150,1.0
151,4.0
152,1.0
153,2.0
154,21.0
155,1.0
156,18.0
157,1.0
158,2.0
159,37.0
160,2.0
161,3.0
162,1.0
163,53.0
164,14.0
165,1.0
166,46.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,2.0
173,1.0
174,17.0
175,38.0
176,3.0
177,2.0
178,4.0
179,1.0
180,1.0
181,3.0
182,1.0
183,23.0
184,1.0
185,8.0
186,1.0
187,2.0
188,2.0
189,3.0
190,7.0
191,1.0
192,12.0
193,12.0
194,4.0
195,7.0
196,1.0
197,51.0
198,18.0
199,1.0
200,1.0
201,65.0
202,1.0
203,1.0
204,1.0
205,7.0
206,1.0
207,3.0
208,100.0
209,1.0
210,1.0
211,1.0
212,7.0
213,4.0
214,1.0
215,3.0
216,1.0
217,1.0
218,17.0
219,41.0
220,87.0
221,1.0
222,7.0
223,9.0
224,1.0
225,1.0
226,1.0
227,1.0
228,91.0
229,10.0
230,1.0
231,1.0
232,21.0
233,2.0
234,1.0
235,1.0
236,30.0
237,2.0
238,1.0
239,13.0
240,2.0
241,1.0
242,6.0
243,30.0
244,1.0
245,2.0
246,1.0
247,3.0
248,2.0
249,1.0
250,1.0
251,1.0
252,1.0
253,1.0
254,1.0
255,37.0
256,38.0
257,2.0
258,12.0
259,1.0
260,37.0
261,1.0
262,1.0
263,20.0
264,13.0
265,1.0
266,1.0
267,9.0
268,139.0
269,5.0
270,1.0
271,1.0
272,44.0
273,1.0
274,1.0
275,8.0
276,1.0
277,2.0
278,35.0
279,15.0
280,1.0
281,1.0
282,8.0
283,7.0
284,242.0
285,1.0
286,1.0
287,1.0
288,1.0
289,3.0
290,1.0
291,26.0
292,1.0
293,13.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,10.0
302,3.0
303,1.0
304,151.0
305,82.0
306,1.0
307,23.0
308,6.0
309,6.0
310,69.0
311,1.0
312,1.0
313,1.0
314,1.0
315,11.0
316,12.0
317,11.0
318,1.0
319,54.0
320,1.0
321,2.0
322,1.0
323,8.0
324,1.0
325,1.0
326,5.0
327,1.0
328,1.0
329,1.0
330,9.0
331,1.0
332,38.0
333,2.0
334,3.0
335,3.0
336,1.0
337,2.0
338,1.0
339,1.0
340,1.0
341,1.0
342,18.0
343,4.0
344,4.0
345,26.0
346,15.0
347,4.0
348,1.0
349,37.0
350,43.0
351,12.0
352,1.0
353,8.0
354,7.0
355,93.0
356,15.0
357,9.0
358,1.0
359,8.0
360,6.0
361,1.0
362,73.0
363,1.0
364,10.0
365,1.0
366,1.0
367,1.0
368,1.0
369,1.0
370,27.0
371,2.0
372,1.0
373,1.0
374,1.0
375,3.0
376,1.0
377,24.0
378,82.0
379,2.0
380,1.0
381,1.0
382,3.0
383,65.0
384,159.0
385,1.0
386,13.0
