id,COC
1,4.0
2,1.0
3,1.0
4,167.0
5,1.0
6,1.0
7,1.0
8,61.0
9,225.0
10,1.0
11,11.0
12,49.0
13,1.0
14,4.0
15,1.0
16,8.0
17,17.0
18,1.0
19,1.0
20,11.0
21,1.0
22,1.0
23,38.0
24,75.0
25,46.0
26,1.0
27,1.0
28,1.0
29,225.0
30,1.0
31,319.0
32,6.0
33,49.0
34,1.0
35,2.0
36,9.0
37,1.0
38,4.0
39,1.0
40,9.0
41,6.0
42,4.0
43,1.0
44,3.0
45,13.0
46,1.0
47,5.0
48,9.0
49,95.0
50,1.0
51,34.0
52,4.0
53,45.0
54,166.0
55,1.0
56,1.0
57,1.0
58,23.0
59,14.0
60,1.0
61,1.0
62,21.0
63,1.0
64,1.0
65,3.0
66,52.0
67,1.0
68,44.0
69,1.0
70,13.0
71,1.0
72,1.0
73,19.0
74,52.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,19.0
82,1.0
83,1.0
84,1.0
85,36.0
86,1.0
87,36.0
88,23.0
89,34.0
90,25.0
91,1.0
92,1.0
93,1.0
94,48.0
95,167.0
96,1.0
97,1.0
98,1.0
99,6.0
100,6.0
101,1.0
102,1.0
103,1.0
104,1.0
105,25.0
106,4.0
107,13.0
108,1.0
109,17.0
110,10.0
111,3.0
112,1.0
113,28.0
114,45.0
115,1.0
116,1.0
117,1.0
118,1.0
119,54.0
120,5.0
121,9.0
122,1.0
123,13.0
124,1.0
125,57.0
126,1.0
127,1.0
128,1.0
129,127.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,3.0
139,1.0
140,23.0
141,1.0
142,1.0
143,28.0
144,3.0
145,1.0
146,168.0
147,78.0
148,138.0
149,1.0
150,33.0
151,17.0
152,10.0
153,1.0
154,1.0
155,1.0
156,10.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,108.0
163,27.0
164,4.0
165,8.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,3.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,61.0
186,1.0
187,5.0
188,6.0
189,17.0
190,286.0
191,1.0
192,20.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,44.0
200,1.0
201,1.0
202,17.0
203,44.0
204,50.0
205,7.0
206,1.0
207,1.0
208,1.0
209,31.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,27.0
218,47.0
219,1.0
220,1.0
221,403.0
222,2.0
223,1.0
224,49.0
225,23.0
226,29.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,23.0
233,1.0
234,1.0
235,5.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,40.0
244,1.0
245,1.0
246,1.0
247,1.0
248,3.0
249,1.0
250,1.0
251,9.0
252,1.0
253,107.0
254,1.0
255,1.0
256,21.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,1.0
265,1.0
266,41.0
267,29.0
268,1.0
269,173.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,52.0
278,89.0
279,17.0
280,1.0
281,50.0
282,49.0
283,1.0
284,14.0
285,19.0
286,1.0
287,1.0
288,1.0
289,1.0
290,1.0
291,1.0
292,16.0
293,1.0
294,1.0
295,1.0
296,9.0
297,1.0
298,1.0
299,7.0
300,16.0
301,1.0
302,94.0
303,32.0
304,95.0
