id,COC
1,1.0
2,43.0
3,3.0
4,1.0
5,1.0
6,1.0
7,9.0
8,1.0
9,1.0
10,7.0
11,1.0
12,1.0
13,1.0
14,1.0
15,23.0
16,7.0
17,3.0
18,8.0
19,5.0
20,1.0
21,78.0
22,1.0
23,86.0
24,9.0
25,1.0
26,4.0
27,1.0
28,21.0
29,5.0
30,1.0
31,15.0
32,8.0
33,1.0
34,5.0
35,23.0
36,1.0
37,4.0
38,1.0
39,2.0
40,1.0
41,10.0
42,1.0
43,3.0
44,1.0
45,1.0
46,8.0
47,4.0
48,1.0
49,1.0
50,11.0
51,1.0
52,1.0
53,3.0
54,1.0
55,2.0
56,5.0
57,1.0
58,56.0
59,1.0
60,4.0
61,1.0
62,17.0
63,14.0
64,1.0
65,20.0
66,1.0
67,12.0
68,1.0
69,1.0
70,1.0
71,1.0
72,8.0
73,18.0
74,29.0
75,1.0
76,1.0
77,3.0
78,1.0
79,8.0
80,1.0
81,1.0
82,5.0
83,20.0
84,3.0
85,12.0
86,1.0
87,2.0
88,1.0
89,1.0
90,1.0
91,10.0
92,1.0
93,13.0
94,1.0
95,171.0
96,1.0
97,1.0
98,2.0
99,1.0
100,1.0
101,1.0
102,4.0
103,1.0
104,1.0
105,19.0
106,15.0
107,1.0
108,8.0
109,19.0
110,1.0
111,1.0
112,29.0
113,1.0
114,1.0
115,25.0
116,4.0
117,1.0
118,26.0
119,1.0
120,1.0
121,1.0
122,1.0
123,4.0
124,1.0
125,8.0
126,1.0
127,1.0
128,11.0
129,1.0
130,4.0
131,55.0
