id,COC
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,9.0
7,4.0
8,76.0
9,1.0
10,25.0
11,4.0
12,226.0
13,1.0
14,8.0
15,3.0
16,32.0
17,103.0
18,1.0
19,79.0
20,1.0
21,4.0
22,1.0
23,46.0
24,1.0
25,4.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,4.0
32,1.0
33,62.0
34,36.0
35,2.0
36,1.0
37,1.0
38,5.0
39,1.0
40,13.0
41,1.0
42,6.0
43,30.0
44,1.0
45,1.0
46,15.0
47,1.0
48,65.0
49,1.0
50,1.0
51,4.0
52,1.0
53,1.0
54,1.0
55,3.0
56,1.0
57,1.0
58,1.0
59,3.0
60,47.0
61,1.0
62,14.0
63,12.0
64,18.0
65,36.0
66,1.0
67,1.0
68,20.0
69,43.0
70,1.0
71,2.0
72,2.0
73,2.0
74,25.0
75,1.0
76,2.0
77,1.0
78,5.0
79,1.0
80,1.0
81,1.0
82,26.0
83,1.0
84,11.0
85,7.0
86,1.0
87,1.0
88,18.0
89,23.0
90,7.0
91,55.0
92,6.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,3.0
100,3.0
101,1.0
102,14.0
103,1.0
104,18.0
105,13.0
106,29.0
107,1.0
108,39.0
109,1.0
110,27.0
111,2.0
112,16.0
113,1.0
114,8.0
115,28.0
116,1.0
117,22.0
118,1.0
119,4.0
120,7.0
121,1.0
122,54.0
123,2.0
124,1.0
125,7.0
126,1.0
127,14.0
128,1.0
129,10.0
130,1.0
131,1.0
132,2.0
133,1.0
134,32.0
135,1.0
136,1.0
137,1.0
138,3.0
139,12.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,3.0
146,1.0
147,6.0
148,1.0
149,6.0
150,6.0
151,1.0
152,1.0
153,32.0
154,1.0
155,5.0
156,1.0
157,1.0
158,1.0
159,1.0
160,43.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,14.0
178,1.0
179,1.0
180,21.0
181,35.0
182,1.0
183,14.0
184,1.0
185,2.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,24.0
193,1.0
194,1.0
195,1.0
196,1.0
197,4.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,28.0
206,1.0
207,16.0
208,1.0
209,2.0
210,1.0
211,1.0
212,28.0
213,1.0
214,1.0
215,1.0
216,1.0
217,7.0
218,32.0
219,1.0
220,1.0
221,1.0
222,10.0
223,15.0
224,1.0
225,1.0
226,1.0
227,14.0
228,36.0
229,1.0
230,1.0
231,1.0
232,12.0
233,1.0
234,5.0
235,6.0
236,9.0
237,14.0
238,1.0
239,1.0
240,8.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,2.0
247,1.0
248,2.0
249,1.0
250,3.0
251,9.0
252,2.0
253,3.0
254,1.0
255,1.0
256,40.0
257,30.0
258,1.0
259,18.0
260,10.0
261,1.0
262,1.0
263,8.0
264,15.0
265,1.0
266,4.0
267,1.0
268,1.0
269,1.0
270,18.0
271,1.0
272,1.0
273,6.0
274,1.0
275,1.0
276,1.0
277,97.0
278,15.0
279,1.0
280,8.0
281,15.0
282,18.0
283,1.0
284,1.0
285,25.0
286,4.0
287,35.0
288,1.0
289,1.0
290,27.0
291,34.0
292,1.0
293,1.0
294,1.0
295,1.0
296,2.0
297,1.0
298,1.0
299,18.0
300,1.0
301,8.0
302,1.0
303,1.0
304,2.0
305,29.0
306,2.0
307,1.0
308,12.0
309,15.0
310,3.0
311,1.0
312,1.0
313,3.0
314,40.0
315,19.0
316,26.0
317,2.0
318,1.0
319,18.0
320,3.0
321,1.0
322,1.0
323,94.0
324,1.0
325,1.0
326,1.0
327,46.0
328,4.0
329,57.0
330,1.0
331,1.0
332,1.0
