id,COC
1,6.0
2,2.0
3,1.0
4,1.0
5,2.0
6,36.0
7,1.0
8,1.0
9,8.0
10,1.0
11,2.0
12,1.0
13,1.0
14,19.0
15,3.0
16,1.0
17,3.0
18,1.0
19,3.0
20,4.0
21,89.0
22,7.0
23,5.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,5.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,10.0
41,1.0
42,1.0
43,1.0
44,3.0
45,1.0
46,2.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,7.0
54,1.0
55,1.0
56,1.0
57,3.0
58,1.0
59,1.0
60,1.0
61,1.0
62,3.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,3.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,2.0
77,1.0
78,1.0
79,14.0
80,3.0
81,3.0
82,3.0
83,1.0
84,1.0
85,4.0
86,1.0
87,1.0
88,1.0
89,1.0
90,3.0
91,1.0
92,2.0
93,8.0
94,1.0
95,5.0
96,5.0
97,1.0
98,1.0
99,26.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,10.0
107,1.0
108,1.0
109,2.0
110,2.0
111,1.0
112,1.0
113,1.0
114,1.0
115,24.0
116,2.0
117,1.0
118,3.0
119,4.0
120,1.0
121,5.0
122,1.0
123,3.0
124,1.0
125,5.0
126,1.0
127,1.0
128,3.0
129,1.0
130,5.0
131,5.0
132,1.0
133,2.0
134,1.0
135,2.0
136,1.0
137,4.0
138,2.0
139,1.0
140,1.0
141,4.0
142,1.0
143,3.0
144,1.0
145,1.0
146,5.0
147,4.0
148,6.0
149,29.0
150,1.0
151,3.0
152,1.0
153,2.0
154,4.0
155,1.0
156,1.0
157,2.0
158,1.0
159,1.0
160,96.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,3.0
167,1.0
168,1.0
169,3.0
170,1.0
171,2.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,2.0
183,1.0
184,47.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,2.0
193,3.0
194,1.0
195,1.0
196,2.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,5.0
204,1.0
205,1.0
206,1.0
207,1.0
208,8.0
209,1.0
210,1.0
211,2.0
212,1.0
213,1.0
214,2.0
215,5.0
216,1.0
217,5.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,3.0
224,1.0
225,1.0
226,1.0
227,2.0
228,1.0
229,1.0
230,1.0
231,1.0
232,3.0
233,1.0
234,4.0
235,14.0
236,7.0
237,2.0
238,4.0
239,2.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,2.0
248,1.0
249,4.0
250,1.0
251,1.0
252,4.0
253,3.0
254,1.0
255,2.0
256,1.0
257,1.0
258,1.0
259,1.0
260,11.0
261,1.0
262,1.0
263,1.0
264,1.0
265,14.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,8.0
273,173.0
274,1.0
275,3.0
276,2.0
277,1.0
278,19.0
279,2.0
280,1.0
281,1.0
282,1.0
283,5.0
284,1.0
285,1.0
286,1.0
287,3.0
288,1.0
289,1.0
290,1.0
291,30.0
292,1.0
293,9.0
294,1.0
295,1.0
296,1.0
297,8.0
298,3.0
299,7.0
300,1.0
301,1.0
302,1.0
303,4.0
304,1.0
305,1.0
306,2.0
307,1.0
308,3.0
309,2.0
310,1.0
311,5.0
312,17.0
313,1.0
314,1.0
315,1.0
316,1.0
317,1.0
318,1.0
319,1.0
320,2.0
321,1.0
322,1.0
323,1.0
324,3.0
325,8.0
326,6.0
327,10.0
328,1.0
329,2.0
330,1.0
331,3.0
332,2.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,48.0
339,1.0
340,1.0
341,1.0
342,3.0
343,5.0
344,1.0
345,2.0
346,1.0
347,1.0
348,1.0
349,1.0
350,5.0
351,7.0
352,6.0
353,1.0
354,1.0
355,6.0
356,1.0
357,3.0
358,1.0
359,3.0
360,1.0
361,4.0
362,1.0
363,1.0
364,1.0
365,5.0
366,8.0
367,1.0
368,1.0
369,1.0
370,2.0
371,26.0
372,1.0
373,1.0
374,1.0
375,2.0
376,6.0
377,10.0
378,1.0
379,5.0
380,11.0
381,2.0
382,1.0
383,1.0
384,1.0
385,3.0
386,1.0
387,1.0
388,1.0
389,1.0
390,1.0
391,40.0
392,1.0
393,1.0
394,1.0
395,1.0
396,1.0
397,17.0
398,8.0
399,1.0
400,1.0
401,10.0
402,1.0
403,1.0
404,3.0
405,1.0
406,1.0
407,1.0
408,1.0
409,1.0
410,2.0
411,1.0
412,1.0
413,1.0
414,3.0
415,1.0
416,1.0
417,1.0
418,10.0
419,1.0
