id,COC
1,1.0
2,87.0
3,1.0
4,1.0
5,2.0
6,1.0
7,7.0
8,1.0
9,17.0
10,1.0
11,86.0
12,1.0
13,32.0
14,1.0
15,1.0
16,1.0
17,29.0
18,7.0
19,1.0
20,99.0
21,1.0
22,1.0
23,2.0
24,1.0
25,9.0
26,56.0
27,1.0
28,1.0
29,1.0
30,1.0
31,52.0
32,1.0
33,5.0
34,1.0
35,1.0
36,1.0
37,3.0
38,1.0
39,7.0
40,17.0
41,31.0
42,10.0
43,1.0
44,1.0
45,1.0
46,1.0
47,6.0
48,1.0
49,9.0
50,18.0
51,14.0
52,5.0
53,23.0
54,40.0
55,1.0
56,68.0
57,91.0
58,7.0
59,1.0
60,1.0
61,18.0
62,1.0
63,92.0
64,33.0
65,15.0
66,1.0
67,1.0
68,4.0
69,1.0
70,1.0
71,7.0
72,1.0
73,222.0
74,1.0
75,3.0
76,1.0
77,1.0
78,25.0
79,13.0
80,49.0
81,18.0
82,179.0
83,1.0
84,53.0
85,1.0
86,9.0
87,1.0
88,1.0
89,61.0
90,1.0
91,1.0
92,129.0
93,67.0
94,1.0
95,1.0
96,1.0
97,5.0
98,1.0
99,1.0
100,354.0
101,6.0
102,13.0
103,23.0
104,76.0
105,1.0
106,5.0
107,1.0
108,84.0
109,1.0
110,47.0
111,1.0
112,73.0
113,10.0
114,3.0
115,3.0
116,56.0
117,1.0
118,1.0
119,2.0
120,11.0
121,1.0
122,6.0
123,24.0
124,13.0
125,1.0
126,1.0
127,4.0
128,4.0
129,18.0
130,79.0
131,1.0
132,108.0
133,4.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,10.0
140,69.0
141,21.0
142,1.0
143,3.0
144,1.0
145,53.0
146,62.0
147,16.0
148,1.0
149,18.0
150,127.0
151,16.0
152,11.0
153,28.0
154,1.0
155,1.0
156,1.0
157,1.0
158,55.0
159,18.0
160,1.0
161,2.0
162,1.0
163,86.0
164,1.0
165,1.0
166,1.0
167,20.0
168,11.0
169,1.0
170,1.0
171,90.0
172,1.0
173,1.0
174,29.0
175,1.0
176,126.0
177,13.0
178,12.0
179,1.0
180,1.0
181,7.0
182,16.0
183,1.0
184,14.0
185,1.0
186,1.0
187,1.0
188,36.0
189,18.0
190,2.0
191,1.0
192,93.0
193,3.0
194,1.0
195,8.0
196,5.0
197,1.0
198,13.0
199,1.0
200,1.0
201,103.0
202,1.0
203,4.0
204,1.0
205,10.0
206,1.0
207,7.0
208,1.0
209,54.0
210,34.0
211,5.0
212,17.0
213,1.0
214,1.0
215,5.0
216,15.0
217,1.0
218,3.0
219,1.0
220,105.0
221,1.0
222,7.0
223,15.0
224,13.0
225,10.0
226,5.0
227,1.0
228,18.0
229,3.0
230,125.0
231,29.0
232,57.0
233,1.0
234,1.0
235,29.0
236,19.0
237,4.0
238,1.0
239,9.0
240,2.0
241,9.0
242,15.0
243,17.0
244,2.0
245,8.0
246,1.0
247,106.0
248,1.0
249,15.0
250,43.0
251,1.0
252,3.0
253,1.0
254,1.0
255,1.0
256,6.0
257,6.0
258,1.0
259,1.0
260,1.0
261,18.0
262,1.0
263,11.0
264,1.0
265,4.0
266,3.0
267,1.0
268,1.0
269,1.0
270,1.0
271,21.0
272,1.0
273,1.0
274,1.0
275,1.0
276,7.0
277,1.0
278,7.0
279,1.0
280,1.0
281,1.0
282,35.0
283,29.0
284,176.0
285,1.0
286,118.0
287,90.0
288,85.0
289,60.0
290,1.0
291,1.0
292,1.0
293,12.0
294,1.0
295,3.0
296,1.0
297,1.0
298,3.0
299,1.0
300,1.0
301,8.0
302,1.0
303,1.0
304,451.0
305,2.0
306,23.0
307,1.0
308,112.0
309,36.0
310,1.0
311,7.0
312,23.0
313,56.0
314,1.0
315,18.0
316,54.0
317,47.0
318,1.0
319,8.0
320,8.0
321,4.0
322,3.0
323,21.0
324,1.0
325,1.0
326,16.0
327,66.0
328,1.0
329,9.0
330,1.0
331,1.0
332,10.0
333,1.0
334,29.0
335,1.0
336,9.0
337,1.0
338,4.0
339,16.0
340,58.0
341,26.0
342,1.0
343,10.0
344,2.0
345,30.0
346,13.0
347,10.0
348,1.0
349,1.0
350,1.0
351,112.0
352,3.0
353,1.0
354,24.0
355,1.0
356,45.0
357,1.0
358,8.0
359,1.0
360,1.0
361,1.0
362,1.0
363,9.0
364,1.0
365,8.0
366,7.0
367,1.0
368,15.0
369,1.0
370,7.0
371,12.0
372,7.0
373,16.0
374,1.0
375,1.0
376,5.0
377,1.0
378,19.0
379,33.0
380,32.0
381,1.0
382,10.0
383,29.0
384,16.0
385,1.0
386,1.0
387,20.0
388,1.0
389,1.0
390,3.0
391,1.0
392,1.0
393,4.0
394,82.0
395,18.0
396,1.0
397,1.0
398,158.0
399,9.0
400,1.0
401,16.0
402,28.0
403,25.0
404,10.0
405,1.0
406,24.0
407,1.0
408,3.0
409,1.0
410,1.0
411,5.0
412,1.0
413,4.0
414,83.0
415,1.0
416,1.0
417,1.0
418,38.0
419,9.0
420,9.0
421,1.0
422,1.0
423,10.0
424,1.0
425,1.0
426,1.0
427,7.0
428,3.0
429,1.0
430,1.0
431,3.0
432,131.0
433,19.0
434,26.0
435,7.0
436,30.0
437,1.0
438,19.0
439,131.0
440,25.0
441,1.0
442,14.0
443,29.0
444,14.0
445,1.0
446,27.0
447,75.0
448,1.0
449,1.0
450,1.0
451,1.0
452,45.0
453,1.0
454,1.0
455,4.0
456,1.0
457,51.0
458,21.0
459,1.0
460,1.0
461,70.0
462,2.0
463,19.0
464,16.0
465,1.0
466,1.0
467,1.0
468,5.0
469,4.0
470,30.0
471,1.0
472,42.0
473,2.0
474,1.0
475,139.0
476,7.0
477,3.0
478,1.0
479,1.0
480,1.0
481,141.0
482,1.0
483,35.0
484,1.0
485,219.0
486,1.0
487,10.0
488,1.0
489,1.0
490,13.0
491,66.0
492,1.0
493,157.0
494,89.0
495,1.0
496,2.0
497,18.0
498,1.0
499,1.0
500,5.0
501,1.0
502,1.0
503,5.0
504,21.0
505,1.0
506,1.0
507,1.0
508,10.0
509,5.0
510,8.0
511,1.0
512,1.0
513,9.0
514,18.0
515,7.0
516,1.0
517,1.0
518,3.0
519,51.0
520,1.0
521,31.0
522,50.0
523,12.0
524,1.0
525,20.0
526,40.0
527,1.0
528,1.0
529,1.0
530,142.0
531,1.0
532,6.0
533,28.0
534,15.0
535,1.0
536,1.0
537,42.0
538,72.0
539,11.0
540,1.0
541,5.0
542,16.0
543,183.0
544,1.0
545,32.0
546,1.0
547,46.0
548,1.0
549,1.0
550,1.0
551,39.0
552,9.0
553,3.0
554,32.0
555,5.0
556,1.0
557,1.0
558,1.0
559,1.0
560,402.0
561,14.0
562,1.0
563,93.0
564,8.0
565,1.0
566,2.0
567,1.0
568,1.0
569,1.0
570,20.0
571,15.0
572,1.0
573,1.0
574,1.0
575,1.0
576,24.0
577,136.0
578,12.0
579,50.0
580,1.0
581,6.0
582,1.0
583,154.0
584,2.0
585,1.0
586,5.0
587,22.0
588,1.0
589,1.0
590,20.0
591,1.0
592,44.0
593,1.0
594,1.0
595,1.0
596,10.0
597,14.0
598,9.0
599,1.0
600,15.0
601,4.0
602,14.0
603,3.0
604,47.0
605,66.0
606,15.0
607,1.0
608,3.0
609,1.0
610,6.0
611,28.0
612,43.0
613,16.0
614,18.0
615,1.0
616,1.0
617,1.0
618,3.0
619,10.0
620,1.0
621,1.0
622,1.0
623,43.0
624,28.0
625,27.0
626,5.0
627,1.0
628,5.0
629,16.0
630,1.0
631,2.0
632,13.0
633,1.0
634,1.0
635,1.0
636,4.0
637,1.0
638,1.0
639,25.0
640,1.0
641,1.0
642,21.0
643,3.0
644,25.0
645,47.0
646,1.0
647,13.0
648,1.0
649,22.0
650,1.0
651,1.0
652,49.0
653,1.0
654,19.0
655,1.0
656,64.0
657,1.0
658,1.0
659,7.0
660,71.0
661,1.0
662,6.0
663,17.0
664,1.0
665,246.0
666,1.0
667,6.0
668,36.0
669,1.0
670,37.0
671,11.0
672,8.0
673,4.0
674,1.0
675,1.0
676,1.0
677,1.0
678,1.0
679,10.0
680,1.0
681,1.0
682,19.0
683,5.0
684,2.0
685,37.0
686,16.0
687,128.0
688,5.0
689,1.0
690,1.0
691,1.0
692,10.0
693,19.0
694,1.0
695,1.0
696,1.0
697,1.0
698,1.0
699,12.0
700,1.0
701,1.0
702,1.0
703,12.0
704,1.0
705,1.0
706,16.0
707,46.0
708,40.0
709,1.0
710,1.0
711,1.0
712,1.0
713,1.0
714,1.0
715,1.0
716,1.0
717,1.0
718,6.0
719,81.0
720,1.0
721,45.0
722,1.0
723,18.0
724,76.0
725,9.0
726,1.0
727,36.0
728,34.0
729,1.0
730,1.0
731,1.0
732,1.0
733,53.0
734,24.0
735,22.0
736,12.0
737,2.0
738,1.0
739,4.0
740,15.0
741,17.0
742,1.0
743,21.0
744,1.0
745,48.0
746,1.0
747,19.0
748,1.0
749,1.0
750,12.0
751,24.0
752,4.0
753,188.0
754,2.0
755,103.0
756,10.0
757,1.0
758,1.0
759,1.0
760,28.0
761,38.0
762,2.0
763,1.0
764,9.0
765,27.0
766,1.0
767,6.0
768,24.0
769,52.0
770,61.0
771,13.0
772,17.0
773,63.0
774,1.0
775,7.0
776,33.0
777,7.0
778,2.0
779,57.0
780,9.0
781,34.0
